Timestamp [ms], X [mm], Y [mm], Z [mm], Heading [degrees], Pitch [degrees], Roll [degrees], Filename
545.105219, -21.924720, 2.910026, 1455.870861, 0.291053, -0.170225, -0.020133, image00000.jpg
564.335585, -21.992468, 3.052983, 1456.215844, 0.292659, -0.159625, -0.024264, image00001.jpg
586.822271, -22.028772, 3.222927, 1456.812565, 0.271139, -0.156169, -0.027746, image00002.jpg
612.542391, -22.075824, 3.411829, 1457.340544, 0.234637, -0.236491, -0.037663, image00003.jpg
644.835234, -22.122793, 3.616319, 1457.915828, 0.204219, -0.316984, -0.043067, image00004.jpg
680.624723, -22.116143, 3.684479, 1458.128580, 0.245233, -0.307501, -0.014885, image00005.jpg
714.708805, -21.932207, 3.927027, 1459.685062, 0.257580, -0.304658, -0.015180, image00006.jpg
734.479904, -22.014248, 4.346918, 1461.085101, 0.254072, -0.242555, -0.057975, image00007.jpg
774.952412, -21.876003, 4.674327, 1462.722475, 0.327877, -0.188411, -0.038043, image00008.jpg
812.735081, -21.715732, 4.803870, 1464.355716, 0.293922, -0.250451, 0.089910, image00009.jpg
837.033272, -21.658481, 4.850159, 1464.621353, 0.230228, -0.292559, 0.054387, image00010.jpg
869.174719, -21.456026, 5.246547, 1466.395420, 0.152654, -0.304055, 0.045892, image00011.jpg
902.142763, -20.888550, 5.432445, 1468.955833, 0.224287, -0.249034, 0.018811, image00012.jpg
933.106661, -20.862984, 5.470400, 1469.316572, 0.248507, -0.236679, 0.035285, image00013.jpg
968.744516, -20.509201, 5.979799, 1471.789065, 0.275866, -0.143573, 0.018664, image00014.jpg
999.386549, -19.995054, 6.055251, 1473.776603, 0.156664, -0.301195, 0.094156, image00015.jpg
1035.957098, -19.471806, 6.445699, 1475.940796, 0.225692, -0.240309, 0.049632, image00016.jpg
1067.896366, -19.441586, 6.491354, 1476.296091, 0.200021, -0.242278, 0.046268, image00017.jpg
1101.016760, -18.750537, 6.791401, 1478.144878, 0.232219, -0.335472, 0.026406, image00018.jpg
1134.776592, -18.175465, 7.188423, 1479.800067, 0.307291, -0.286253, 0.018627, image00019.jpg
1176.993132, -17.320840, 7.551593, 1481.791573, 0.265887, -0.215510, -0.046308, image00020.jpg
1200.112820, -17.250607, 7.564060, 1482.005505, 0.279174, -0.219960, -0.064757, image00021.jpg
1236.753941, -16.074501, 8.009958, 1483.956713, 0.233368, -0.122836, 0.067944, image00022.jpg
1269.887447, -15.954906, 8.052369, 1484.184031, 0.214630, -0.091686, 0.065132, image00023.jpg
1303.815126, -14.754050, 8.207433, 1485.590037, 0.250818, -0.148737, -0.008861, image00024.jpg
1337.520123, -13.671365, 8.706229, 1486.864755, 0.216784, -0.112034, 0.072400, image00025.jpg
1369.014263, -13.567191, 8.628473, 1486.999643, 0.211001, -0.120069, 0.154023, image00026.jpg
1402.449608, -12.524927, 8.763992, 1487.727207, 0.222934, -0.069429, 0.024800, image00027.jpg
1435.604095, -11.507900, 9.145225, 1488.442915, 0.189266, -0.051879, 0.052863, image00028.jpg
1468.444824, -10.483416, 9.141860, 1488.835665, 0.178481, -0.142203, 0.037285, image00029.jpg
1500.535250, -9.972185, 9.160457, 1488.848224, 0.146281, -0.247243, 0.055960, image00030.jpg
1535.960436, -8.994776, 9.352290, 1489.135143, 0.085792, -0.195956, 0.127945, image00031.jpg
1570.256948, -8.777388, 9.371616, 1489.123152, 0.082293, -0.175662, 0.133526, image00032.jpg
1603.473186, -7.894167, 9.288434, 1489.153989, 0.101311, -0.167840, 0.042166, image00033.jpg
1636.435986, -6.784541, 9.455724, 1488.981710, 0.189398, -0.076014, 0.038975, image00034.jpg
1671.544552, -5.411248, 9.204451, 1488.750022, 0.170694, -0.029545, 0.028853, image00035.jpg
1711.360931, -5.335609, 9.049339, 1488.682062, 0.152515, -0.053346, 0.123313, image00036.jpg
1749.213457, -4.304031, 9.122715, 1488.321911, 0.205651, -0.029112, 0.017873, image00037.jpg
1780.499697, -3.473778, 8.822593, 1487.887887, 0.101035, -0.114361, 0.085418, image00038.jpg
1803.252697, -2.555778, 8.434110, 1487.408048, 0.182546, -0.095284, 0.049109, image00039.jpg
1836.013794, -2.330144, 8.420693, 1487.313170, 0.191368, -0.126398, 0.033834, image00040.jpg
