Timestamp [ms], X [mm], Y [mm], Z [mm], Heading [degrees], Pitch [degrees], Roll [degrees], Filename
1882.163048, -17.029346, 74.638171, 510.081631, 0.490819, -0.047463, 2.025063, image00000.jpg
1913.730145, -16.219250, 75.415633, 518.550099, 0.502835, -0.034194, 2.002094, image00001.jpg
1978.795767, -14.925220, 75.989072, 529.141491, 0.420644, 0.016267, 1.956811, image00002.jpg
2046.678782, -13.803733, 76.130702, 536.179972, 0.283441, 0.023542, 1.917759, image00003.jpg
2113.100052, -11.360038, 76.441260, 548.130724, -0.191475, -0.012488, 1.814480, image00004.jpg
2177.919149, -9.150184, 76.501355, 555.126287, -0.186339, 0.043704, 1.733287, image00005.jpg
2245.809555, -6.146971, 76.473257, 561.639202, 0.159779, 0.073642, 1.662312, image00006.jpg
2312.045813, -3.890948, 76.482074, 565.971534, 0.227745, -0.057849, 1.619972, image00007.jpg
2381.331205, -1.434216, 76.500317, 570.696471, 0.102117, -0.254534, 1.569622, image00008.jpg
2449.158430, 1.438938, 76.466134, 576.798475, 0.023834, -0.370727, 1.500164, image00009.jpg
2515.727282, 3.436837, 76.337741, 581.987029, 0.067514, -0.299191, 1.471515, image00010.jpg
2579.612494, 6.626894, 75.932353, 592.581282, 0.169794, -0.157717, 1.433020, image00011.jpg
2647.992611, 8.101269, 75.565455, 599.015927, 0.238575, -0.159845, 1.418586, image00012.jpg
2713.162422, 10.902503, 74.463709, 613.062463, 0.209445, -0.221412, 1.390554, image00013.jpg
2779.977083, 12.795479, 73.560087, 623.255305, 0.000789, -0.219590, 1.367611, image00014.jpg
2845.135212, 14.236874, 72.752698, 631.279572, -0.044199, -0.145549, 1.356832, image00015.jpg
2910.672426, 17.278114, 70.767793, 649.026643, 0.076783, -0.157132, 1.331759, image00016.jpg
2977.183104, 18.726332, 69.715249, 657.252050, 0.149919, -0.253166, 1.291838, image00017.jpg
3046.883345, 20.029693, 68.741525, 665.112788, 0.149175, -0.335364, 1.255448, image00018.jpg
3110.726833, 22.428935, 66.572784, 680.699818, -0.137140, -0.435267, 1.168712, image00019.jpg
3177.517414, 23.279771, 65.806839, 687.520287, -0.356505, -0.450634, 1.121573, image00020.jpg
3246.361971, 24.762922, 64.332927, 700.872431, -0.161554, -0.211770, 1.021758, image00021.jpg
3312.170982, 25.563664, 63.609166, 708.193431, 0.183022, -0.045774, 0.971046, image00022.jpg
3377.220154, 26.261798, 62.964880, 714.661216, 0.378719, 0.013221, 0.934633, image00023.jpg
3445.805311, 27.695305, 61.175619, 730.189859, 0.339903, -0.182781, 0.875428, image00024.jpg
3510.959864, 28.211594, 60.335737, 736.118696, 0.272924, -0.262302, 0.855701, image00025.jpg
3577.623606, 29.428506, 57.754470, 752.392254, 0.140501, -0.225969, 0.791657, image00026.jpg
3643.617868, 29.991808, 56.275028, 761.200726, 0.053209, -0.169147, 0.757455, image00027.jpg
3710.473776, 30.412255, 54.994923, 768.815192, -0.031885, -0.167513, 0.724634, image00028.jpg
3777.905941, 31.143635, 52.622311, 783.704667, -0.150520, -0.189443, 0.672313, image00029.jpg
3844.311953, 31.746189, 51.102411, 793.469236, -0.153525, -0.097165, 0.635760, image00030.jpg
3910.618782, 32.660101, 49.563001, 803.420927, -0.069663, 0.045487, 0.595590, image00031.jpg
