Timestamp [ms], X [mm], Y [mm], Z [mm], Heading [degrees], Pitch [degrees], Roll [degrees], Filename
641.966105, 65.164820, -218.940657, 180.616091, -2.467804, -1.560300, 0.739674, image00000.jpg
674.690485, 65.146599, -218.946003, 180.668352, -2.481956, -1.551755, 0.737864, image00001.jpg
692.845821, 65.154519, -218.919737, 180.651827, -2.472014, -1.530716, 0.749888, image00002.jpg
734.968901, 65.193634, -218.964500, 180.680769, -2.516467, -1.559747, 0.729398, image00003.jpg
750.805616, 65.185595, -218.958256, 180.691541, -2.514837, -1.554671, 0.728945, image00004.jpg
784.051657, 65.162034, -218.908032, 180.640483, -2.485284, -1.529005, 0.741071, image00005.jpg
847.746849, 65.153620, -218.920304, 180.651398, -2.476136, -1.533039, 0.739100, image00006.jpg
874.064445, 65.186524, -218.963549, 180.710119, -2.513528, -1.549608, 0.746568, image00007.jpg
899.869204, 65.148388, -218.908800, 180.680235, -2.486523, -1.532834, 0.743921, image00008.jpg
919.628620, 65.173200, -218.893830, 180.614792, -2.446440, -1.514952, 0.757605, image00009.jpg
935.402393, 65.168722, -218.902558, 180.630369, -2.451689, -1.524437, 0.750150, image00010.jpg
967.399120, 65.157158, -218.933145, 180.625275, -2.473502, -1.535183, 0.738208, image00011.jpg
1017.574549, 65.136033, -218.934561, 180.676790, -2.490461, -1.537943, 0.719067, image00012.jpg
1043.448925, 65.144717, -218.952146, 180.660909, -2.481754, -1.533323, 0.744904, image00013.jpg
1069.245815, 65.157542, -218.907156, 180.634303, -2.480356, -1.520042, 0.747812, image00014.jpg
1112.627029, 65.163916, -218.973894, 180.648988, -2.504603, -1.561486, 0.736680, image00015.jpg
1152.961493, 65.126763, -218.889703, 180.657791, -2.463462, -1.506994, 0.749479, image00016.jpg
1185.823202, 65.093762, -218.809452, 180.631479, -2.429549, -1.486458, 0.743086, image00017.jpg
1213.786602, 65.273804, -219.321252, 180.957855, -2.751979, -1.717050, 0.680133, image00018.jpg
1251.986742, 65.263258, -219.307947, 180.942575, -2.744609, -1.714896, 0.675776, image00019.jpg
1264.572382, 65.260816, -219.298721, 180.915017, -2.730465, -1.710047, 0.677308, image00020.jpg
1304.931164, 65.227208, -219.214700, 180.872149, -2.671507, -1.652454, 0.698904, image00021.jpg
