Timestamp [ms], X [mm], Y [mm], Z [mm], Heading [degrees], Pitch [degrees], Roll [degrees], Filename
676.469803, -19.976315, -11.560523, 1496.410999, 0.330040, -0.053966, -0.023923, image00000.jpg
701.819181, -19.863332, -11.510333, 1496.498493, 0.421537, -0.103404, -0.117649, image00001.jpg
724.379301, -19.927518, -11.453666, 1496.484572, 0.425575, -0.120878, -0.142959, image00002.jpg
784.888506, -19.815489, -11.242970, 1496.594894, 0.488391, -0.166991, -0.143780, image00003.jpg
823.416948, -19.866975, -11.200019, 1496.653718, 0.465836, -0.217115, -0.151515, image00004.jpg
842.794418, -19.877759, -11.214112, 1496.710628, 0.457456, -0.232637, -0.154950, image00005.jpg
865.442276, -19.879331, -10.957471, 1496.537348, 0.411369, -0.071644, -0.142506, image00006.jpg
890.580654, -19.888366, -10.902593, 1496.515933, 0.422144, -0.074347, -0.160386, image00007.jpg
902.498484, -19.690802, -10.792950, 1496.464338, 0.392987, -0.169294, -0.027012, image00008.jpg
931.455135, -19.659601, -10.767169, 1496.450002, 0.379003, -0.176044, -0.037250, image00009.jpg
965.723991, -19.500923, -10.271252, 1496.162483, 0.308971, -0.128418, -0.079366, image00010.jpg
989.130020, -19.444754, -10.207144, 1496.188971, 0.334835, -0.166189, -0.093830, image00011.jpg
1030.088186, -19.288537, -9.808589, 1495.928361, 0.431750, -0.152237, -0.085465, image00012.jpg
1059.411287, -19.166964, -9.499258, 1495.562477, 0.357909, -0.065680, -0.091955, image00013.jpg
1087.608814, -19.110164, -9.416766, 1495.512015, 0.346788, -0.041448, -0.100246, image00014.jpg
1115.754128, -18.741638, -8.742796, 1495.048183, 0.434981, -0.093668, -0.125991, image00015.jpg
1166.584015, -18.500097, -8.005788, 1493.983622, 0.288758, -0.198177, -0.062747, image00016.jpg
1191.999435, -18.174678, -7.441874, 1493.491984, 0.368201, -0.261187, -0.098509, image00017.jpg
1226.241350, -18.147277, -7.352647, 1493.367418, 0.394689, -0.261559, -0.100280, image00018.jpg
1255.978107, -17.965680, -6.806410, 1492.651036, 0.387640, -0.159759, -0.127019, image00019.jpg
1289.105177, -17.779516, -6.358203, 1492.131076, 0.361598, -0.161199, -0.140119, image00020.jpg
1311.064959, -17.563511, -5.866945, 1491.561905, 0.336228, -0.174659, -0.144488, image00021.jpg
1346.025229, -17.219628, -5.084856, 1490.655776, 0.295840, -0.196088, -0.151444, image00022.jpg
1390.515089, -16.782008, -4.089582, 1489.502651, 0.244442, -0.223359, -0.160297, image00023.jpg
1417.122841, -16.664054, -3.728939, 1489.144857, 0.263144, -0.173439, -0.155959, image00024.jpg
1462.544203, -16.407024, -2.944190, 1488.429863, 0.368378, -0.058195, -0.150812, image00025.jpg
1503.803730, -15.978067, -2.084204, 1487.582964, 0.343076, -0.087033, -0.122390, image00026.jpg
1517.334938, -15.962874, -2.016048, 1487.542878, 0.338639, -0.081549, -0.128666, image00027.jpg
1550.382137, -15.578302, -1.152415, 1486.742143, 0.205214, -0.128437, -0.029097, image00028.jpg
1593.220711, -15.300426, -0.536019, 1486.263750, 0.244183, -0.135471, -0.040421, image00029.jpg
1629.706144, -15.254821, -0.384919, 1486.215411, 0.203729, -0.132369, -0.051601, image00030.jpg
1653.429747, -15.087291, 0.429378, 1485.866810, 0.134453, -0.112080, -0.090576, image00031.jpg
1683.256865, -14.832404, 0.909595, 1485.499160, 0.304597, -0.005044, -0.127377, image00032.jpg
1726.331711, -14.691449, 1.243979, 1485.387696, 0.249842, 0.013335, -0.117106, image00033.jpg
1748.703241, -14.502897, 1.667111, 1485.285032, 0.150670, -0.052114, -0.057369, image00034.jpg
1787.712336, -14.530147, 1.887780, 1484.876059, 0.209225, -0.056913, 0.023279, image00035.jpg
1814.797878, -14.428422, 1.939038, 1484.824262, 0.220105, -0.119172, 0.002871, image00036.jpg
1847.282887, -14.183268, 2.552500, 1484.219166, 0.070174, -0.094618, 0.006177, image00037.jpg
1879.950523, -14.051549, 2.644134, 1483.852183, 0.091118, -0.087970, -0.011816, image00038.jpg
1914.258718, -13.913215, 2.740370, 1483.466771, 0.113114, -0.080987, -0.030713, image00039.jpg
1946.103811, -13.784813, 2.829696, 1483.109029, 0.133531, -0.074506, -0.048253, image00040.jpg
1979.668379, -13.649477, 2.923846, 1482.731971, 0.155050, -0.067675, -0.066741, image00041.jpg
2013.063192, -13.514826, 3.017520, 1482.356820, 0.176460, -0.060878, -0.085134, image00042.jpg
2048.971176, -13.310936, 3.024289, 1481.829893, 0.118264, -0.107158, -0.064964, image00043.jpg
2096.484661, -13.112120, 2.832070, 1481.177740, 0.272914, -0.072415, -0.097394, image00044.jpg
2118.167639, -13.079067, 2.818473, 1480.781278, 0.323220, -0.085127, -0.129457, image00045.jpg
2152.999163, -13.012409, 2.790662, 1480.472929, 0.286511, -0.071987, -0.122028, image00046.jpg
2191.008091, -12.821560, 2.499729, 1479.925376, 0.194995, -0.189411, -0.030257, image00047.jpg
2236.728907, -12.331479, 2.129492, 1479.162758, 0.312566, -0.257197, -0.072260, image00048.jpg
2274.815559, -12.059914, 1.986218, 1478.393387, 0.117071, -0.182854, -0.074932, image00049.jpg
2298.399210, -12.033216, 1.958164, 1478.303461, 0.094652, -0.173716, -0.075278, image00050.jpg
2329.664707, -11.490242, 1.399081, 1477.607833, 0.382472, -0.151262, -0.085957, image00051.jpg
2385.205030, -11.082746, 1.179898, 1477.060184, 0.122566, -0.175353, -0.040737, image00052.jpg
2421.727419, -10.790962, 0.867807, 1476.548037, 0.174393, -0.134515, -0.017080, image00053.jpg
2448.606730, -10.468937, 0.398891, 1475.902176, 0.385406, -0.156434, -0.058746, image00054.jpg
2486.790180, -10.035912, 0.010267, 1475.299652, 0.137533, -0.152221, 0.046732, image00055.jpg
2510.628939, -10.018671, -0.057920, 1475.213086, 0.168556, -0.140757, 0.047392, image00056.jpg
2561.835289, -9.517891, -0.557847, 1474.229073, 0.284454, -0.144763, -0.000097, image00057.jpg
2627.056360, -9.051745, -0.897124, 1473.529977, 0.214608, -0.103758, -0.023644, image00058.jpg
2643.063784, -8.853616, -1.231132, 1473.010925, 0.336536, -0.057029, -0.046047, image00059.jpg
2694.634199, -8.503040, -1.517797, 1472.194679, 0.266151, -0.048915, -0.058017, image00060.jpg
2706.753969, -8.484829, -1.533182, 1472.156073, 0.259346, -0.052444, -0.059151, image00061.jpg
2738.728523, -8.031387, -1.938925, 1471.227145, 0.288652, -0.027759, -0.026600, image00062.jpg
2756.694078, -7.976510, -1.987908, 1471.133819, 0.301691, -0.026004, -0.027830, image00063.jpg
2779.544592, -7.454690, -2.482480, 1469.744802, 0.286649, -0.181954, -0.051350, image00064.jpg
2797.230959, -7.372521, -2.533467, 1469.573381, 0.299069, -0.201751, -0.052776, image00065.jpg
2852.958441, -6.876462, -2.977771, 1468.714033, 0.298562, -0.122763, -0.033047, image00066.jpg
2884.285450, -6.792858, -3.057782, 1468.528801, 0.326291, -0.114545, -0.040235, image00067.jpg
2919.850111, -6.289616, -3.462268, 1467.491489, 0.284064, -0.062295, -0.014520, image00068.jpg
2958.371401, -5.532710, -4.041078, 1466.185398, 0.353844, -0.103474, -0.090112, image00069.jpg
2999.837637, -5.292863, -4.380912, 1465.098121, 0.306732, -0.087084, -0.153585, image00070.jpg
3039.946079, -4.691924, -4.755546, 1464.062805, 0.362495, -0.100325, -0.137911, image00071.jpg
3068.039417, -4.591064, -4.815219, 1463.938011, 0.405077, -0.090853, -0.149237, image00072.jpg
3090.147734, -4.532936, -4.852242, 1463.856692, 0.426524, -0.087587, -0.155525, image00073.jpg
3156.488657, -4.308461, -5.118761, 1463.182347, 0.391899, -0.102022, -0.148447, image00074.jpg
3194.278479, -3.999892, -5.397954, 1462.073349, 0.261409, -0.112359, -0.154933, image00075.jpg
3216.550589, -3.366338, -5.820109, 1461.346567, 0.428259, -0.156712, -0.149267, image00076.jpg
3254.428387, -2.827337, -6.055311, 1460.265697, 0.258131, -0.185555, -0.112564, image00077.jpg
3259.628057, -2.807742, -6.059100, 1460.233698, 0.254498, -0.185408, -0.111065, image00078.jpg
3310.325384, -1.832595, -6.572853, 1459.069222, 0.392456, -0.342401, -0.157415, image00079.jpg
3356.193304, -1.033575, -6.749895, 1458.466140, 0.321019, -0.309298, -0.144942, image00080.jpg
3394.834280, 0.017788, -7.111916, 1457.829704, 0.425895, -0.408686, -0.213266, image00081.jpg
3430.578232, 1.741887, -7.342951, 1457.394524, 0.332454, -0.560994, -0.227498, image00082.jpg
3470.252991, 3.625041, -7.712574, 1457.211968, 0.488889, -0.678580, -0.218779, image00083.jpg
3505.564690, 3.980150, -7.757883, 1457.163016, 0.460161, -0.666259, -0.222301, image00084.jpg
3513.054132, 4.055467, -7.767493, 1457.152634, 0.454068, -0.663646, -0.223048, image00085.jpg
3605.749130, 11.088651, -8.338790, 1456.420465, 0.309634, -0.845354, -0.215227, image00086.jpg
3656.261683, 12.594237, -8.406970, 1456.348332, 0.298188, -0.866762, -0.210139, image00087.jpg
3680.861950, 15.488543, -8.368028, 1456.325088, 0.364051, -0.836008, -0.233625, image00088.jpg
3694.765568, 17.161499, -8.365034, 1456.304609, 0.389006, -0.830751, -0.242731, image00089.jpg
3746.238947, 23.701357, -8.531203, 1456.160352, 0.367013, -0.924320, -0.237577, image00090.jpg
3772.406340, 27.026008, -8.615678, 1456.087016, 0.355833, -0.971887, -0.234957, image00091.jpg
3782.068968, 28.253676, -8.646872, 1456.059936, 0.351704, -0.989452, -0.233989, image00092.jpg
3809.035778, 32.376087, -8.607137, 1456.107170, 0.360072, -1.062026, -0.234844, image00093.jpg
3852.985144, 37.949053, -8.549262, 1456.185041, 0.369773, -1.147435, -0.238202, image00094.jpg
3879.261971, 38.932540, -8.536256, 1456.225892, 0.366431, -1.130896, -0.243950, image00095.jpg
3919.503212, 44.640983, -8.486959, 1456.478182, 0.366953, -1.203105, -0.270019, image00096.jpg
3985.341787, 51.498258, -8.241535, 1456.809505, 0.348662, -1.177054, -0.242543, image00097.jpg
4009.711266, 57.979476, -8.164359, 1457.161663, 0.404704, -1.289294, -0.248043, image00098.jpg
4055.395842, 67.459579, -7.992096, 1457.841285, 0.275218, -1.302954, -0.251583, image00099.jpg
4087.302685, 68.733804, -8.004657, 1457.983684, 0.290966, -1.352582, -0.292614, image00100.jpg
4136.039257, 91.050197, -7.347323, 1459.937705, 0.336794, -1.261628, -0.264621, image00101.jpg
4152.776480, 91.849293, -7.314618, 1460.020207, 0.337531, -1.262602, -0.273331, image00102.jpg
4205.430269, 102.417315, -7.246770, 1461.246442, 0.404374, -1.226896, -0.290753, image00103.jpg
4223.859072, 111.819797, -6.966561, 1462.666620, 0.402717, -1.255236, -0.284512, image00104.jpg
4247.708559, 113.400735, -6.913772, 1462.922829, 0.411003, -1.278059, -0.300785, image00105.jpg
4291.406155, 124.563573, -6.601718, 1465.016483, 0.446287, -1.344033, -0.296282, image00106.jpg
4347.614527, 145.126967, -6.475115, 1469.281623, 0.345130, -1.454146, -0.203977, image00107.jpg
4386.863232, 157.806929, -6.096707, 1472.129695, 0.356882, -1.420578, -0.212295, image00108.jpg
4404.270172, 159.359923, -6.095135, 1472.517522, 0.435654, -1.477348, -0.240259, image00109.jpg
4414.314985, 170.458276, -5.848276, 1474.935870, 0.392552, -1.406880, -0.175399, image00110.jpg
4464.361429, 189.016931, -5.462269, 1479.173885, 0.313044, -1.430002, -0.206813, image00111.jpg
4487.669230, 191.163328, -5.436267, 1479.638884, 0.323551, -1.422686, -0.206440, image00112.jpg
4507.897377, 209.927951, -5.053628, 1483.644178, 0.351952, -1.287314, -0.211867, image00113.jpg
4543.852806, 213.280877, -5.001228, 1484.362868, 0.332262, -1.285093, -0.202920, image00114.jpg
4589.815140, 224.536107, -4.681479, 1486.726056, 0.292982, -1.353528, -0.238118, image00115.jpg
4650.244236, 266.834717, -3.818768, 1494.609894, 0.268656, -0.986007, -0.226260, image00116.jpg
4671.003580, 270.649123, -3.741044, 1495.255403, 0.280496, -0.964263, -0.233367, image00117.jpg
4693.831921, 274.843694, -3.655573, 1495.965248, 0.293517, -0.940351, -0.241183, image00118.jpg
4715.970993, 281.657920, -3.522036, 1497.123008, 0.377149, -1.020303, -0.265367, image00119.jpg
4765.315771, 303.988545, -3.123200, 1500.399640, 0.383505, -1.138818, -0.255779, image00120.jpg
4777.683735, 305.109926, -3.079320, 1500.551097, 0.361005, -1.116222, -0.256592, image00121.jpg
4800.440311, 332.205477, -2.557870, 1504.092552, 0.359242, -1.014055, -0.241102, image00122.jpg
4845.142365, 340.241566, -2.396680, 1505.180813, 0.410740, -1.057912, -0.270709, image00123.jpg
4903.568506, 379.132530, -1.395727, 1508.983833, 0.380101, -0.865703, -0.201492, image00124.jpg
