Timestamp [ms], X [mm], Y [mm], Z [mm], Heading [degrees], Pitch [degrees], Roll [degrees], Filename
570.264101, -189.740975, -294.531417, 966.197902, -0.436938, 0.185878, 0.066093, image00000.jpg
586.543798, -189.906117, -294.649539, 966.160886, -0.429407, 0.188517, 0.054646, image00001.jpg
621.828794, -190.629892, -295.387054, 965.990616, -0.542524, 0.153490, 0.058141, image00002.jpg
640.867949, -190.757027, -295.488581, 965.948333, -0.531243, 0.170103, 0.063746, image00003.jpg
661.306858, -190.851247, -295.518706, 965.916386, -0.525709, 0.194994, 0.084055, image00004.jpg
696.695805, -191.291205, -295.883631, 965.841043, -0.500111, 0.241140, 0.113433, image00005.jpg
723.154783, -191.756760, -296.679853, 965.894974, -0.571833, 0.244492, 0.102984, image00006.jpg
765.496969, -192.197337, -297.350820, 966.050311, -0.482524, 0.201466, 0.093319, image00007.jpg
802.939177, -192.412825, -297.662810, 966.198619, -0.556025, 0.112249, -0.053841, image00008.jpg
821.547985, -192.300763, -298.432709, 966.510175, -0.561291, 0.228722, 0.098671, image00009.jpg
865.649462, -192.294716, -298.926507, 966.796107, -0.516221, 0.206443, 0.078843, image00010.jpg
907.826662, -192.164615, -299.185518, 966.974255, -0.504969, 0.184202, 0.086247, image00011.jpg
930.854082, -191.925627, -299.978331, 967.496164, -0.510170, 0.174690, 0.092038, image00012.jpg
964.509249, -191.822410, -300.968105, 968.117059, -0.519356, 0.148278, 0.097765, image00013.jpg
985.691071, -191.769691, -301.080864, 968.185798, -0.513234, 0.124189, 0.110865, image00014.jpg
1020.728350, -191.563968, -301.839037, 968.651499, -0.512175, 0.112101, 0.116013, image00015.jpg
1051.456690, -191.182491, -302.626762, 969.198816, -0.565010, 0.145918, 0.154859, image00016.jpg
1087.462902, -190.831322, -303.448901, 969.595529, -0.636637, 0.165124, 0.178507, image00017.jpg
1120.563745, -190.621007, -303.705087, 969.777380, -0.580595, 0.129739, 0.149394, image00018.jpg
1153.246880, -190.049181, -304.470126, 970.280206, -0.503931, 0.086036, 0.169458, image00019.jpg
1200.848341, -189.665784, -305.397951, 970.716981, -0.607865, 0.065521, 0.089662, image00020.jpg
1217.239618, -189.689176, -305.506705, 970.768548, -0.614837, 0.038636, 0.041209, image00021.jpg
1253.450394, -188.963101, -306.618832, 971.086244, -0.525808, 0.034798, 0.161947, image00022.jpg
1286.036730, -188.559347, -307.408671, 971.275248, -0.537525, 0.012123, 0.158871, image00023.jpg
1322.241545, -188.110759, -308.286215, 971.485240, -0.550543, -0.013069, 0.155453, image00024.jpg
1372.611284, -187.637376, -309.190583, 971.648814, -0.522794, -0.018243, 0.147127, image00025.jpg
1383.579254, -187.620308, -309.228166, 971.647282, -0.518918, -0.015885, 0.145622, image00026.jpg
1434.712648, -187.252803, -310.233475, 971.738446, -0.605637, -0.024160, 0.065519, image00027.jpg
1452.039719, -186.965822, -310.860150, 971.699911, -0.523132, 0.021964, 0.127592, image00028.jpg
1487.008810, -186.664497, -311.707357, 971.804412, -0.574603, -0.010757, 0.070446, image00029.jpg
