Timestamp [ms], X [mm], Y [mm], Z [mm], Heading [degrees], Pitch [degrees], Roll [degrees], Filename
2373.272896, -140.524379, -277.557743, 974.472760, -0.409417, -0.138065, -0.034799, image00000.jpg
2424.483299, -140.072215, -277.970364, 975.007729, -0.324531, -0.098874, 0.037776, image00001.jpg
2474.700928, -139.722645, -278.759754, 975.662078, -0.419781, -0.099355, 0.004288, image00002.jpg
2492.161036, -139.600701, -279.516093, 976.217671, -0.364718, -0.062996, 0.012390, image00003.jpg
2507.101774, -139.544865, -279.789189, 976.337246, -0.377615, -0.046257, -0.002351, image00004.jpg
2525.460482, -139.493611, -280.154988, 976.479992, -0.399330, -0.034032, -0.016420, image00005.jpg
2581.463575, -139.439583, -280.879167, 976.690649, -0.433671, -0.053827, -0.032728, image00006.jpg
2597.343922, -139.158848, -281.765689, 976.731855, -0.411515, -0.038823, -0.003580, image00007.jpg
2629.691601, -139.118868, -281.916195, 976.738588, -0.408685, -0.035571, 0.001740, image00008.jpg
2636.340141, -139.110651, -281.947129, 976.739972, -0.408103, -0.034903, 0.002833, image00009.jpg
2683.363914, -139.136414, -283.356345, 976.526810, -0.482883, -0.059895, -0.029891, image00010.jpg
2698.491812, -139.130249, -283.433667, 976.497644, -0.483460, -0.050180, -0.026535, image00011.jpg
2732.279778, -139.261081, -284.030137, 976.250671, -0.469717, -0.063911, -0.058830, image00012.jpg
2777.448654, -139.507010, -284.975916, 975.876597, -0.457387, -0.043162, 0.028334, image00013.jpg
2806.837797, -139.692545, -286.042533, 975.299897, -0.496723, -0.036125, -0.023258, image00014.jpg
2851.108313, -140.100555, -287.248740, 974.559438, -0.434309, -0.115334, -0.046039, image00015.jpg
2878.926992, -140.145789, -287.388504, 974.475549, -0.452922, -0.106493, -0.050115, image00016.jpg
2923.775673, -140.459837, -288.810709, 973.568588, -0.524277, -0.050055, 0.027370, image00017.jpg
2949.150562, -140.834213, -289.691828, 973.028749, -0.482870, -0.142771, -0.113031, image00018.jpg
2968.435287, -140.863939, -289.781529, 972.940928, -0.488327, -0.125824, -0.081370, image00019.jpg
3015.749216, -141.469494, -291.234186, 971.964343, -0.556247, -0.066012, -0.116306, image00020.jpg
3052.295208, -141.979281, -292.074223, 971.182801, -0.444916, -0.064736, -0.061311, image00021.jpg
3070.076942, -142.066294, -292.170440, 971.083446, -0.454981, -0.049555, -0.050583, image00022.jpg
3096.697330, -142.656397, -293.477144, 970.207947, -0.526581, -0.080196, -0.088041, image00023.jpg
3121.344566, -142.725708, -293.609852, 970.098113, -0.535636, -0.078462, -0.086333, image00024.jpg
3175.762892, -143.026204, -294.262371, 969.542875, -0.522159, -0.100663, -0.054952, image00025.jpg
3216.645718, -143.829472, -295.247839, 968.852568, -0.525633, -0.078843, -0.007456, image00026.jpg
3246.538162, -144.583645, -296.350124, 968.248224, -0.548142, -0.086585, -0.022482, image00027.jpg
3280.756474, -145.711055, -297.442069, 967.547956, -0.493496, -0.067669, -0.025765, image00028.jpg
3304.621458, -145.825978, -297.610054, 967.460574, -0.469473, -0.078303, -0.044057, image00029.jpg
3325.639725, -145.918548, -297.718666, 967.414757, -0.468842, -0.077172, -0.047986, image00030.jpg
